contract_id,underlying_ticker,expiration,strike,option_type,last_price,mark_price,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,data_source
NVDA210528P00557500,NVDA,2021-05-28,557.5,put,0.01,0.01,0.0,0,0.46,22,43,0,2021-05-28,0.95632,-0.00102,0.00011,-0.05564,0.00116,-2e-05,alpha_vantage
NVDA210528C00560000,NVDA,2021-05-28,560.0,call,90.07,89.68,88.65,7,90.7,4,43,429,2021-05-28,0.01976,1.0,0.0,-0.00077,0.0,0.01534,alpha_vantage
NVDA210528P00560000,NVDA,2021-05-28,560.0,put,0.01,0.01,0.0,0,0.01,2,304,1730,2021-05-28,0.93681,-0.00112,0.00012,-0.0594,0.00127,-2e-05,alpha_vantage
NVDA210528C00562500,NVDA,2021-05-28,562.5,call,84.74,88.75,86.75,1,90.75,7,7,83,2021-05-28,1.77581,0.94501,0.00184,-3.35939,0.03783,0.01439,alpha_vantage
NVDA210528P00562500,NVDA,2021-05-28,562.5,put,0.04,0.01,0.0,0,0.04,1,60,493,2021-05-28,0.91729,-0.00123,0.00013,-0.06349,0.00138,-2e-05,alpha_vantage
NVDA210528C00565000,NVDA,2021-05-28,565.0,call,83.84,85.95,84.3,2,87.6,7,12,167,2021-05-28,1.65874,0.95091,0.0018,-2.8678,0.03457,0.01457,alpha_vantage
NVDA210528P00565000,NVDA,2021-05-28,565.0,put,0.01,0.01,0.0,0,0.03,1,72,745,2021-05-28,0.87827,-0.00109,0.00012,-0.05447,0.00124,-2e-05,alpha_vantage
NVDA210528C00567500,NVDA,2021-05-28,567.5,call,81.6,82.58,79.4,7,85.75,7,10,81,2021-05-28,1.26851,0.98088,0.00108,-1.00584,0.01585,0.0152,alpha_vantage
NVDA210528P00567500,NVDA,2021-05-28,567.5,put,0.04,0.01,0.0,0,0.04,1,121,547,2021-05-28,0.85876,-0.0012,0.00014,-0.0583,0.00136,-2e-05,alpha_vantage
NVDA210528C00570000,NVDA,2021-05-28,570.0,call,81.42,81.20,79.35,1,83.05,7,70,401,2021-05-28,1.63923,0.94175,0.00209,-3.24499,0.03958,0.01454,alpha_vantage
